Name;Age;Club;Country;Position
Franco Mastantuono;15;River Plate;Argentina;undefined
Sverre Halseth Nypan;16;Rosenborg BK;Norway;undefined
Ethan Nwaneri;16;Arsenal;England;undefined
Noah Darvich;16;FC Barcelona;Germany;undefined
Kendry Paez;16;Independiente del Valle;Ecuador;undefined
Shaqueel van Persie;16;Feyenoord;Netherlands;undefined
Rodrigo Mora;16;Porto;Portugal;undefined
Jorrel Hato;17;AFC Ajax;Spain;undefined
Julien Duranville;17;Borrusia Dortmund;Belgium;undefined
Archie Gray;17;Leeds United;England;undefined
Assan Ouedraogo;17;FC Shalke 04;Germany;undefined
Paul Wanner;17;Bayern Munchen;Germany;undefined
Leny Yoro;17;Lille;France;undefined
Ben Doak;17;Liverpool;Scotland;undefined
Junior Kroupi;17;FC Lorient;France;undefined
Claudio Echeverri;17;Manchester City;Argentina;undefined
Simone Pafundi;17;Udinese Calcio;Italy;undefined
Luis Guilherme;17;SE Palmeiras;Brasil;undefined
Lorran;17;Flamengo;Brasil;undefined
Youssoufa Moukoko;18;Borrusia Dortmund;Germany;undefined
Arda Guler;18;Real Madrid;Turkey;undefined
Joao Neves;18;Benfica;Portugal;undefined
Mathys Tel;18;Bayern Munchen;France;undefined
Facundo Bounanotte;18;Brighton;Argentina;undefined
Kobbie Mainoo;18;Manchester United;England;undefined
Samu Omorodion;18;Atletico Madrid;Spain;undefined
Angelo;18;Chelsea;Brasil;undefined
Stefac Bajcetic;18;Liverpool;Spain;undefined
Desire Doue;18;Stade Rennais;France;undefined
Eliesse Ben Seghir;18;Monako;France;undefined
Badredine Bouanani;18;OGC Nice;Algeria;undefined
Kenan Yildiz;18;Juventus;Turkey;undefined
Guillaume Restes;18;Toulouse;France;undefined
Joao Rego;18;Benfica;Portugal;undefined
Ousmane Diomande;19;Sporting;Ivory Coast;undefined
Savio;19;Girona;Brasil;undefined
Antonio Silva;19;Benfica;Portugal;undefined
Alejandro Garnacho;19;Manchester United;Argentina;undefined
Romeo Lavia;19;Chelsea;Belgium;undefined
Carlos Baleba;19;Brighton;Cameroon;undefined
Oscar Gloukh;19;RB Salzburg;Israel;undefined
Karim Konate;19;RB Salzburg;Ivory Coast;undefined
Mohamed-Ali Cho;19;OGC Nice;France;undefined
Michael Kayode;19;Fiorentina;Italy;undefined
Valentin Barco;19;Brighton;Argentina;undefined
Alex Scott;19;Bournemouth;England;undefined
Adam Wharton;19;Crystal Palace;England;undefined
Xavi Simons;20;PSG;Netherlands;undefined
Tino Livramento;20;Newcastle United;England;undefined
Benjamin Sesko;20;RB Leipzig;Slovenia;undefined
Conor Bradley;20;Liverpool;Northern Ireland;undefined
Marcos Leonardo;20;Benfica;Brasil;undefined
Tommaso Baldanzi;20;AS Roma;Italy;undefined
