Polski,Angielski,Odpowiedź,DiscordLink
Czym jest aplikacja AskMngr i do czego służy?,What is the AskMngr app and what is it used for?,Aplikacja AskMngr to aplikacja wzbogacająca wrażenia z gry Football Manager oraz pomagająca w rozgrywce
Czy aplikacja jest darmowa?,Is the app free to use?,Aplikacja jest free to use
Czy aplikacja działa na wszystkich wersjach gry Football Manager?,Does the app work with all versions of Football Manager?,Aplikacja jest stale rozbudowywana i działa od FM24 w górę
"Czy muszę instalować dodatkowe oprogramowanie, aby korzystać z aplikacji?",Do I need to install any additional software to use the app?,"Nie, aplikacja działa w przeglądarce, ale można ją pobrać jako osobną aplikację"
Jakie funkcje oferuje aplikacja AskMngr?,What features does the AskMngr app offer?,"AskMngr oferuje funkcję pokroju oceny składu, oceny pojedynczego gracza, śledzenia progresu, wyszukiwania wonderkidów oraz wiele więcej"
Czy mogę używać aplikacji do analizy taktyk w Football Managerze?,Can I use the app to analyze tactics in Football Manager?,"Nie, aktualnie AskMngr nie ma opcji do analizy taktyki"
Czy mogę za jej pomocą znaleźć najlepszych zawodników dla mojego klubu?,Can I use it to find the best players for my club?,Można znaleźć najlepsze młode talenty
Jak aplikacja pomaga w zarządzaniu zespołem?,How does the app help with team management?,Aplikacja pomaga w ustalaniu pierwszej 11 przy użyciu funkcji Rate Team
Jak zgłosić problem techniczny z aplikacją?,How can I report a technical issue with the app?,Napisz na Discordzie na kanale general
Czy aplikacja jest dostępna na urządzenia mobilne?,Is the app available on mobile devices?,"Tak, wystarczy wejść w nią na przeglądarce i dodać do ekranu głównego"
Gdzie mogę znaleźć instrukcję obsługi aplikacji?,Where can I find a user guide for the app?,"Nie ma instrukcji, ale każda funkcja jest prosta i opisana w aplikacji"
Jak mogę zresetować swoje dane w aplikacji?,How can I reset my data in the app?,Aplikacja nie zbiera danych
Czy aplikacja zbiera moje dane osobowe?,Does the app collect my personal data?,"Nie, aplikacja nie zbiera żadnych danych osobowych"
Jakie dane są przechowywane przez aplikację?,What data is stored by the app?,Żadne dane nie są przechowywane
Czy moje dane są bezpieczne w aplikacji AskMngr?,Are my data safe in the AskMngr app?,"Tak, aplikacja nie zbiera danych"
"Co zrobić, jeśli aplikacja nie działa poprawnie?",What should I do if the app isn't working properly?,"Mi działa, więc nie wiem haha"
Dlaczego nie mogę połączyć się z moją grą Football Manager?,Why can't I connect to my Football Manager game?,Aplikacja nie oferuje połączenia z FM
Jakie są minimalne wymagania systemowe dla tej aplikacji?,What are the minimum system requirements for this app?,Aplikacja nie ma żadnych wymagań systemowych
Czy planowane są nowe funkcje lub aktualizacje dla aplikacji?,Are there any new features or updates planned for the app?,"Tak, aplikacja jest stale rozbudowywana"
Jak mogę skontaktować się z twórcami aplikacji?,How can I contact the developers of the app?,Napisz na Discordzie i oznacz admina lub właściciela
Czy mogę sugerować nowe funkcje lub zmiany w aplikacji?,Can I suggest new features or changes for the app?,Tak! Chętnie przyjmę wszystkie sugestie
Czy można używać tej aplikacji offline?,Can this app be used offline?,"Tak, aplikacja działa offline"

