"#","Okładka","Tytuł","Status","Ocena","Postęp","Typ"
"1","","Ao Ashi","Obejrzane","10","24/24","TV"
"2","","Blue Lock","Obejrzane","9","24/24","TV"
"3","","Blue Lock vs. U-20 Japan","Obejrzane","9","14/14","TV"
"4","","Blue Lock: Episode Nagi","Obejrzane","10","1/1","Movie"
"5","","Haikyu!! 2nd Season","Obejrzane","10","25/25","TV"
"6","","Haikyu!! 3rd Season","Obejrzane","10","10/10","TV"
"7","","Haikyu!! The Dumpster Battle","Obejrzane","10","1/1","Movie"
"8","","Haikyuu!!","Obejrzane","10","25/25","TV"
"9","","Haikyuu!!: To The Top","Obejrzane","10","13/13","TV"
"10","","Haikyuu!!: To the Top 2nd Season","Obejrzane","10","12/12","TV"
"11","","Ore dake Level Up na Ken","Oglądam","10","12/13","TV"
"12","","Ore dake Level Up na Ken Season 2: Arise from the Shadow","Oglądam","10","5/13","TV"
"13","","Death Note","Obejrzane","9","37/37","TV"
"14","","Ao no Hako","Planuje","-","0/25","TV"
"15","","Bleach","Planuje","-","0/366","TV"
"16","","Chi.: Chikyuu no Undou ni Tsuite","Oglądam","-","2/25","TV"
"17","","Cyberpunk: Edgerunners","Planuje","-","0/10","ONA"
"18","","Dan Da Dan","Planuje","-","0/12","TV"
"19","","Fate/Zero","Planuje","-","0/13","TV"
"20","","Hazure Skill [Kinomi Master]: Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite","Planuje","-","0/12","TV"
"21","","Izure Saikyou no Renkinjutsushi?","Planuje","-","0/13","TV"
"22","","Kage no Jitsuryokusha ni Naritakute!","Planuje","-","0/20","TV"
"23","","Kami no Tou","Planuje","-","0/13","TV"
"24","","Keijo!!!!!!!!","Planuje","-","0/12","TV"
"25","","Kuroko no Basket","Oglądam","-","3/25","TV"
"26","","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e","Obejrzane","-","13/13","TV"
"27","","Mashle","Planuje","-","0/13","TV"
"28","","No Game No Life","Planuje","-","0/12","TV"
"29","","Overlord","Planuje","-","0/13","TV"
"30","","Quanzhi Gaoshou","Planuje","-","0/12","ONA"
"31","","Re:Zero kara Hajimeru Isekai Seikatsu","Planuje","-","0/25","TV"
"32","","Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru","Planuje","-","0/12","TV"
"33","","Vinland Saga","Planuje","-","0/24","TV"
